ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,White or European,% African American,African American,% Asian,Asian,% Hispanic or Latino,Hispanic or Latino,% Multiple ethnicities or other,Multiple ethnicities,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality,Mortality_bin
146,China,Shanghai,4,Positive Only,44,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,0.25,0.75,0,0,0.25,0,0.5,0.25,0.5,0,0,0.25,0,0,0,0,0,0
146,China,Shanghai,1,Positive Only,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,China,Shanghai,1,Positive Only,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
146,China,Shanghai,1,Positive Only,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
146,China,Shanghai,1,Positive Only,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,South Korea,Incheon,1,Positive only,35,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
148,South Korea,Goyang,1,Positive only,54,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
150,USA,Washington,1,Positive only,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
151,China,Wuhan,287,Positive only,21,0.56,0,0,0,0,1,287,0,0,0,0,0,0.3,0.16,0.12,0.06,0.03,0.04,0.08,0.02,0,0.78,0.07,0.73,0.48,0,0,0.48,0.48,0,0,0,0,0,0,0.48,0,0,0.07,0
151,China,Wuhan,55,Positive only,22,0.69,0,0,0,0,1,55,0,0,0,0,0,0.42,0.22,0.18,0.11,0.05,0.02,0.16,0.05,0,0.73,0.18,0.75,0.53,0,0,0.45,0.45,0,0,0,0,0,0,0.44,0,0,0.03,0
151,China,Wuhan,232,Positive only,20,0.53,0,0,0,0,1,232,0,0,0,0,0,0.28,0.14,0.1,0.04,0.02,0.04,0.08,0.01,0,0.79,0.05,0.72,0.47,0,0,0.48,0.48,0,0,0,0,0,0,0.49,0,0,0.22,1
152,USA,New York City,1999,Positive only,62,0.62,0.46,919.54,0.15,299.85,0.06,119.94,0,0,0.33,659.67,0.26,0.37,0.25,0.16,0.1,0.07,0,0,0.1,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,1
154,China,Wuhan,274,Positive only,60,0.55,0,0,0,0,1,274,0,0,0,0,0,0,0.15,0.11,0.06,0.03,0.04,0.08,0.02,0,0.78,0,0.73,0.47,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.08,0
154,China,Wuhan,75,Positive only,67,0.55,0,0,0,0,1,75,0,0,0,0,0,0,0.31,0.21,0.09,0.03,0.04,0.15,0.05,0,0.76,0,0.71,0.47,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0.09,0
154,China,Wuhan,199,Positive only,58,0.55,0,0,0,0,1,199,0,0,0,0,0,0,0.1,0.08,0.04,0.03,0.04,0.06,0.01,0,0.78,0,0.73,0.47,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0.07,0
156,Europe/North America,Various,53,Positive only,54,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0.17,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.13,1
156,Europe/North America,Various,34,Positive only,61,0.79,0,0,0,0,0,0,0,0,0,0,0,0.26,0.24,0.18,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.18,1
156,Europe/North America,Various,19,Positive only,65,0.68,0,0,0,0,0,0,0,0,0,0,0,0.21,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0.05,0
157,China,Wuhan ,245,Positive only,53,0.47,0,0,0,0,1,245,0,0,0,0,0.04,0.21,0.09,0.07,0.03,0.04,0.03,0,0,0,0.81,0,0.57,0.18,0.05,0.27,0.31,0.48,0,0.07,0.04,0.23,0.07,0,0,0,0,0.13,1
157,China,Wuhan ,82,Positive only,45,0.29,0,0,0,0,1,82,0,0,0,0,0.01,0.13,0.06,0.06,0.02,0.02,0,0,0,0,0.74,0,0.48,0.1,0.06,0.18,0.29,0.44,0,0.07,0.04,0.17,0.11,0,0,0,0,0.02,0
157,China,Wuhan ,81,Positive only,53,0.49,0,0,0,0,1,81,0,0,0,0,0.05,0.17,0.07,0.04,0.05,0.01,0.04,0,0,0,0.77,0,0.6,0.12,0.06,0.3,0.33,0.44,0,0.1,0.02,0.19,0.09,0,0,0,0,0.06,0
157,China,Wuhan ,82,Positive only,61,0.61,0,0,0,0,1,82,0,0,0,0,0.06,0.33,0.15,0.12,0.02,0.07,0.05,0,0,0,0.91,0,0.63,0.33,0.02,0.34,0.29,0.55,0,0.05,0.06,0.33,0.01,0,0,0,0,0.32,1
159,China,Xiangyang,119,Positive only,49,0.47,0,0,0,0,1,119,0,0,0,0,0,0.19,0.1,0.06,0,0,0.02,0,0.02,0,0.86,0,0.63,0,0.14,0.18,0,0.75,0,0.12,0.03,0,0,0,0,0,0,0.03,0
159,China,Xiangyang,99,Positive only,45,0.44,0,0,0,0,1,99,0,0,0,0,0,0.1,0.07,0.03,0,0,0.02,0,0.01,0,0.86,0,0.53,0,0.15,0.16,0,0.75,0,0.11,0.03,0,0,0,0,0,0,0,0
159,China,Xiangyang,20,Positive only,68,0.6,0,0,0,0,1,20,0,0,0,0,0,0.65,0.25,0.2,0,0,0,0,0.05,0,0.8,0,0.65,0,0.1,0.3,0,0.7,0,0.15,0.05,0,0,0,0,0,0,0.03,0
160,China,Anhui,125,Positive only,39,0.57,0,0,0,0,1,125,0,0,0,0,0.13,0,0,0.14,0.02,0.01,0.06,0,0,0,0.93,0,0.82,0.46,0.09,0.42,0.03,0.34,0,0.4,0.19,0,0.14,0,0.02,0,0,0,0
160,China,Anhui,1,Positive only,69,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,China,Anhui,1,Positive only,40,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,China,Anhui,1,Positive only,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,China,Anhui,1,Positive only,67,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,China,Shanghai,274,Positive only,44,0.62,0,0,0,0,1,274,0,0,0,0,0.07,0.34,0.17,0.08,0.07,0.03,0.04,0,0.01,0,0.91,0.32,0.68,0.44,0.11,0.3,0.22,0.5,0,0.28,0.09,0.24,0.04,0,0.38,0,0,0.41,1
161,China,Shanghai,113,Positive only,62,0.73,0,0,0,0,1,113,0,0,0,0,0.08,0.48,0.21,0.14,0.1,0.04,0.04,0,0.04,0,0.92,0.59,0.7,0.62,0.1,0.31,0.19,0.57,0,0.24,0.07,0.27,0.04,0,0.49,0,0,1,1
161,China,Shanghai,161,Positive only,37,0.55,0,0,0,0,1,161,0,0,0,0,0.06,0.24,0.14,0.04,0.04,0.01,0.04,0,0.01,0,0.9,0.14,0.66,0.31,0.12,0.3,0.24,0.45,0,0.31,0.1,0.22,0.05,0,0.3,0,0,0,0
162,China,Zhuhai,95,Positive only,45,0.47,0,0,0,0,1,95,0,0,0,0,0.06,0.17,0.06,0.04,0.05,0.05,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0.2,0.15,0.13,0,0,0,0,0,0,0
162,China,Zhuhai,58,Positive only,48,0.47,0,0,0,0,1,58,0,0,0,0,0.09,0.17,0.05,0.05,0.02,0.07,0,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0.24,0.18,0.18,0,0,0,0,0,0,0
169,China,Jiangsu,55,Positive only,45,0.49,0,0,0,0,1,55,0,0,0,0,0,0.31,0.16,0.04,0,0.04,0,0.02,0.02,0,0.86,0,0.62,0.2,0.18,0.49,0,0.4,0,0.33,0.07,0.06,0,0,0,0,0,0,0
169,China,Jiangsu,47,Positive only,40,0.47,0,0,0,0,1,47,0,0,0,0,0,0.3,0.11,0.02,0,0.04,0,0,0,0,0.83,0,0.55,0.06,0.17,0.43,0,0.36,0,0.3,0.09,0.04,0,0,0,0,0,0,0
169,China,Jiangsu,8,Positive only,59,0.63,0,0,0,0,1,8,0,0,0,0,0,0.38,0.5,0.13,0,0,0,0.13,0.13,0,1,0,1,1,0.25,0.88,0,0.63,0,0.5,0,0.13,0,0,0,0,0,0,0
170,Iceland,Nationwide,13,Positive only,51,0.69,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.15,0,0.08,0,0,0,0,0,0,0,0,0.08,0.54,0,0
172,China,Changsha,159,Positive only,72,0.62,0,0,0,0,0,0,0,0,0,0,0,0.57,0.33,0.57,0,0.05,0.09,0.15,0,0,0.71,0,0.55,0.08,0.03,0,0.03,0.14,0,0.06,0.02,0,0,0.03,0.1,0,0,1,1
176,USA,New York City,393,Positive only,62,0.61,0.37,145.41,0.13,51.09,0.17,66.81,0,0,0.46,180.78,0.05,0.5,0.25,0.14,0.05,0.06,0,0,0,0,0.26,0.1,0.79,0.57,0,0,0.27,0,0,0.24,0,0,0,0,0,0,0,0.1,0
176,USA,New York City,130,Positive only,63,0.71,0.35,45.5,0.12,15.6,0.19,24.7,0,0,0.34,44.2,0.05,0.54,0.28,0.19,0.05,0.08,0,0,0,0,0.35,0.22,0.83,0.66,0,0,0.24,0,0,0.21,0,0,0,0,0,0,0,0.15,1
176,USA,New York City,263,Positive only,61,0.56,0.38,99.94,0.13,34.19,0.16,42.08,0,0,0.33,86.79,0.05,0.48,0.24,0.11,0.05,0.05,0,0,0,0,0.21,0.04,0.78,0.52,0,0,0.29,0,0,0.25,0,0,0,0,0,0,0,0.08,0
181,USA,South Carolina,368,Positive only,48,0,0.29,106.72,0.64,235.52,0,0,0,0,0.07,25.76,0.14,0,0.68,0.18,0.2,0.16,0.09,0.13,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1
181,USA,South Carolina,97,Positive only,48,0,0.24,23.28,0.68,65.96,0,0,0,0,0.08,7.76,0.19,0,0.79,0.26,0.23,0.18,0.08,0.21,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1
181,USA,South Carolina,113,Positive only,47,0,0.35,39.55,0.59,66.67,0,0,0,0,0.06,6.78,0.12,0,0.55,0.13,0.18,0.13,0.11,0.07,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,1
181,USA,South Carolina,158,Positive only,48,0,0.27,42.66,0.65,102.7,0,0,0,0,0.08,12.64,0.13,0,0.7,0.17,0.19,0.17,0.09,0.12,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0
182,USA,New York,5700,Positive only,63,0.6,0.4,2280,0.23,1311,0.09,513,0.23,1311,0.06,342,0.16,0.57,0.34,0.18,0.05,0.06,0.01,0,0.05,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
183,UK,Nationwide,202,Positive only,56,0.48,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0.56,0,0.6,0.41,0.43,0,0.45,0.68,0,0.44,0.26,0.55,0.36,0,0,0.64,0,0,0
184,USA,Washington,48,Positive only,14,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.5,0.1,0.17,0,0.35,0,0,0.06,0.02,0.02,0.15,0.15,0,0,0,0,0
185,China,Wuhan,171,Positive only,6,0.61,0,0,0,0,1,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.49,0,0,0,0,0.09,0,0.09,0.06,0,0.08,0,0,0,0.16,0.01,0
186,China,Guangzhou,13,Positive only,60,0.62,0,0,0,0,1,13,0,0,0,0,0,0.39,0.15,0,0,0,0.08,0,0,0,1,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,USA,Washington,57,Positive only,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.81,0.38,0,0,0.4,0.38,0,0.1,0,0.58,0.1,0.04,0,0.02,0,0,0.04,0.1,0,0.15,0,0,0,0,0.26,1
188,USA,Washington,28,Negative only,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.61,0.29,0,0,0.29,0.32,0,0.5,0,0.36,0.11,0.07,0,0.04,0,0,0.07,0.07,0,0.18,0,0,0,0,0,0
191,China,Nationwide,21,Positive only,68,0.52,0,0,0,0,1,21,0,0,0,0,0,0.33,0.19,0.19,0,0.14,0.1,0,0.1,0,0.76,0,0.71,0.57,0,0.33,0,0,0,0.1,0,0,0.14,0,0,0,0,0.24,1
191,China,Nationwide,5,Positive only,68,0.8,0,0,0,0,1,5,0,0,0,0,0,0.4,0.49,0.4,0,0.2,0.2,0,0,0,1,0,0.8,0.6,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,1,1
191,China,Nationwide,16,Positive only,69,0.44,0,0,0,0,1,16,0,0,0,0,0,0.31,0.13,0.13,0,0.13,0.06,0,0.13,0,0.69,0,0.69,0.56,0,0.31,0,0,0,0.06,0,0,0.19,0,0,0,0,0,0
193,China,Shenzhen,420,Positive only,46,0.48,0,0,0,0,1,420,0,0,0,0,0,0.12,0.06,0.03,0.03,0,0.03,0.01,0,0.03,0.75,0,0.73,0.16,0.11,0.47,0.13,0.29,0,0.18,0.11,0,0.14,0.03,0.16,0,0,0.01,0
193,China,Shenzhen,23,Positive only,25,0.3,0,0,0,0,1,23,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.48,0,0.57,0,0.04,0.13,0.09,0.09,0,0.09,0.04,0,0.13,0,0.04,0,0,0,0
193,China,Shenzhen,304,Positive only,43,0.44,0,0,0,0,1,304,0,0,0,0,0,0.08,0.04,0.01,0.03,0,0.03,0,0.01,0.04,0.71,0,0.7,0.06,0.11,0.44,0.09,0.23,0,0.17,0.11,0,0.13,0.03,0.12,0,0,0,0
193,China,Shenzhen,74,Positive only,58,0.61,0,0,0,0,1,74,0,0,0,0,0,0.24,0.12,0.1,0.03,0,0.04,0.01,0,0.04,0.95,0,0.88,0.41,0.15,0.69,0.28,0.49,0,0.23,0.14,0,0.18,0.05,0.35,0,0,0,0
193,China,Shenzhen,19,Positive only,62,0.74,0,0,0,0,1,19,0,0,0,0,0,0.37,0.21,0,0.16,0,0,0.05,0,0.05,0.9,0,0.79,0.9,0.05,0.47,0.26,0.58,0,0.11,0.11,0,0.21,0.05,0.26,0,0,0.21,1
197,China,Wuhan,223,Positive only,60,0.57,0,0,0,0,1,223,0,0,0,0,0,0.18,0.09,0.06,0,0.02,0,0,0,0,0.79,0,0.69,0,0,0,0,0.57,0,0.07,0,0,0,0,0,0,0,0.3,1
197,China,Wuhan,125,Positive only,48,0.49,0,0,0,0,1,125,0,0,0,0,0,0.1,0.06,0.03,0,0.01,0,0,0,0,0.74,0,0.68,0,0,0,0,0.58,0,0.08,0,0,0,0,0,0,0,0,0
197,China,Wuhan,98,Positive only,64,0.66,0,0,0,0,1,98,0,0,0,0,0,0.39,0.12,0.09,0,0.04,0,0,0,0,0.86,0,0.7,0,0,0,0,0.54,0,0.05,0,0,0,0,0,0,0,0.68,1
198,USA,New York,257,Positive,21,0.66,0.12,30.84,0.19,48.83,0.04,10.28,0.62,159.34,0.03,7.71,0.13,0.63,0.36,0.19,0.09,0.07,0.02,0.09,0.14,0,0.71,0,0.66,0.74,0.04,0,0.26,0,0.07,0.12,0,0,0.06,0,0,0,0,0.33,1
199,China,Hubei,237,Positive only,65,0.59,0,0,0,0,0,0,0,0,0,0,0,0.43,0.24,0.07,0,0,0,0,0,0,0.37,0.2,0,0,0,0,0,0,0,0.03,0.04,0.01,0,0,0,0,0,0.14,1
199,China,Hubei,158,Positive only,66,0.56,0,0,0,0,0,0,0,0,0,0,0,0.46,0.25,0.09,0,0,0,0,0,0,0.35,0.23,0,0,0,0,0,0,0,0.03,0.05,0.01,0,0,0,0,0,0.15,1
199,China,Hubei,78,Positive only,64,0.65,0,0,0,0,0,0,0,0,0,0,0,0.38,0.21,0.03,0,0,0,0,0,0,0.4,0.14,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0.13,1
200,USA,New York,151,Positive only,56,0.57,0,0,0,0,0,0,0,0,0,0,0.21,0.5,0.26,0.11,0.07,0.03,0.01,0,0.08,0.17,0.74,0,0.77,0.54,0.14,0.06,0,0,0,0.2,0.09,0,0.11,0.15,0,0,0,0.15,1
200,USA,New York,618,Positive only,63,0.57,0,0,0,0,0,0,0,0,0,0,0.23,0.59,0.38,0.14,0.07,0.08,0.02,0,0.16,0.1,0.73,0,0.73,0.61,0.1,0.09,0,0,0,0.25,0.22,0,0.08,0.19,0,0,0,0.13,1
200,USA,New York,231,Positive only,62,0.68,0,0,0,0,0,0,0,0,0,0,0.24,0.68,0.43,0.13,0.06,0.06,0.02,0,0.12,0.13,0.73,0,0.72,0.74,0.07,0.07,0,0,0,0.21,0.1,0,0.08,0.17,0,0,0,0.31,1
200,USA,New York,1000,Positive only,62,0.6,0,0,0,0,0,0,0,0,0,0,0.23,0.6,0.37,0.13,0.07,0.07,0.02,0,0.14,0.11,0.73,0,0.73,0.63,0.1,0.08,0,0,0,0.23,0.18,0,0.08,0.18,0,0,0,0.17,1
1,China,Wuhan,191,Positive only,56,0.62,0,0,0,0,1,191,0,0,0,0,0.06,0.3,0.19,0.08,0.03,0.02,0,0,0.02,0.12,0.94,0.29,0.79,0,0,0.23,0.15,0.23,0,0.05,0.04,0,0,0,0,0,0,0.28,1
1,China,Wuhan,54,Positive only,69,0.7,0,0,0,0,1,54,0,0,0,0,0.09,0.48,0.31,0.24,0.07,0,0,0,0.04,0.2,0.94,0.63,0.72,0,0,0.26,0.15,0.28,0,0.04,0.06,0,0,0,0,0,0,1,1
1,China,Wuhan,137,Positive only,52,0.59,0,0,0,0,1,137,0,0,0,0,0.04,0.23,0.14,0.01,0.01,0.07,0,0,0,0.08,0.94,0.16,0.82,0,0,0.22,0.15,0.21,0,0.05,0.03,0,0,0,0,0,0,0,0
2,China,Wuhan,199,Positive only,58,0.6,0,0,0,0,1,199,0,0,0,0,0,0,0.12,0,0,0.03,0,0.07,0,0,0.92,0.19,0,0,0,0,0,0,0,0.02,0.04,0.01,0,0,0,0,0,0.16,1
2,China,Wuhan,99,Positive only,59,0.62,0,0,0,0,1,99,0,0,0,0,0,0,0.1,0,0,0.05,0,0.05,0,0,0.9,0.22,0,0,0,0,0,0,0,0.04,0.1,0.02,0,0,0,0,0,0.15,1
2,China,Wuhan,100,Positive only,58,0.59,0,0,0,0,1,100,0,0,0,0,0,0,0.13,0,0,0.01,0,0.08,0,0,0.93,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1
3,China,Wuhan,81,Positive only,50,0.52,0,0,0,0,1,81,0,0,0,0,0,0.15,0.12,0.1,0.11,0.05,0.09,0.07,0.04,0.16,0.73,0,0.59,0.42,0.06,0.19,0.09,0.09,0,0.04,0.05,0.01,0,0,0,0,0.19,0.04,0
3,China,Wuhan,15,Positive only,45,0.27,0,0,0,0,1,15,0,0,0,0,0,0.13,0.2,0.2,0.07,0.07,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,China,Wuhan,21,Positive only,49,0.52,0,0,0,0,1,21,0,0,0,0,0,0.05,0.1,0.05,0.14,0.05,0.1,0.05,0,0.15,0.86,0,0.71,0.43,0.1,0.14,0.05,0.09,0,0.05,0.1,0.05,0,0,0,0,0,0,0
3,China,Wuhan,30,Positive only,52,0.67,0,0,0,0,1,30,0,0,0,0,0,0.23,0.1,0.1,0.1,0.07,0.1,0.1,0.1,0.2,0.9,0,0.7,0.43,0.07,0.2,0.13,0.05,0,0.03,0.07,0,0,0,0,0,0,0.07,0
3,China,Wuhan,15,Positive only,50,0.47,0,0,0,0,1,15,0,0,0,0,0,0.13,0.13,0.07,0.13,0,0.13,0.07,0,0.2,0.93,0,0.8,0.8,0.07,0.4,0.13,0.13,0,0.07,0,0,0,0,0,0,0,0.07,0
4,China,Zhejiang,149,Positive only,45,0.54,0,0,0,0,1,149,0,0,0,0,0,0,0,0,0,0.01,0,0.19,0,0,0.77,0,0.58,0.01,0.09,0.32,0.03,0,0,0.07,0.01,0,0.14,0.14,0,0,0,0,0
6,China,Beijing,77,Positive only,52,0.44,0,0,0,0,1,77,0,0,0,0,0,0.21,0.08,0.12,0.08,0.05,0,0.03,0.07,0,0.86,0,0.64,0.21,0.13,0,0.27,0.27,0,0.01,0.08,0.09,0.07,0,0,0,0,0.06,0
6,China,Beijing,57,Positive only,45,0.4,0,0,0,0,1,57,0,0,0,0,0,0.14,0.07,0.05,0.05,0.05,0,0.02,0.04,0,0.83,0,0.58,0.14,0.18,0,0.33,0.33,0,0.02,0.05,0.07,0.09,0,0,0,0,0,0
6,China,Beijing,20,Positive only,69,0.55,0,0,0,0,1,20,0,0,0,0,0,0.4,0.1,0.3,0.15,0.05,0,0.05,0.15,0,0.95,0,0.8,0.4,0,0,0.1,0.1,0,0,0.15,0.15,0,0,0,0,0,0.25,1
7,China,Wuhan,36,Positive only,68,0.83,0,0,0,0,1,36,0,0,0,0,0,0.39,0.28,0.33,0.19,0.06,0,5.6,0,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1
7,China,Wuhan,22,Positive only,69,0.86,0,0,0,0,1,22,0,0,0,0,0,0.36,0.27,0.27,0.18,0.09,0,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1
7,China,Wuhan,14,Positive only,73,0.79,0,0,0,0,1,14,0,0,0,0,0,0.43,0.29,0.43,0.21,0,0,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1
8,Italy,Nationwide,3200,Positive only,80,0.71,1,3200,0,0,0,0,0,0,0,0,0,0.74,0.34,0.3,0.14,0.2,0.04,0,0.2,0.04,0.76,0,0.4,0.73,0,0,0,0,0,0.08,0,0,0,0,0,0,0,1,1
9,China,Zhejiang,91,Positive only,48,0.41,0,0,0,0,1,91,0,0,0,0,0,0.16,0.09,0,0,0,0,0,0,0,0.71,0,0.6,0.03,0.08,0.33,0.05,0.44,0,0.23,0.07,0.25,0,0,0,0,0,0,0
10,China,Seven hospitals,62,Positive only,41,0.57,0,0,0,0,1,62,0,0,0,0,0,0.08,0.02,0,0.02,0,0.11,0.02,0.02,0,0.77,0.03,0.81,0.03,0.34,0.57,0.52,0.52,0,0.08,0,0,0,0,0,0,0,0,0
10,China,Seven hospitals,33,Positive only,45,0.58,0,0,0,0,1,33,0,0,0,0,0,0.12,0.03,0,0.03,0,0.12,0.03,0,0,0.73,0.03,0.82,0.06,0.45,0.58,0.58,0.58,0,0.09,0,0,0,0,0,0,0,0,0
10,China,Seven hospitals,29,Positive only,39,0.55,0,0,0,0,1,29,0,0,0,0,0,0.03,0,0,0,0,0.1,0,0.03,0,0.83,0.03,0.79,0,0.21,0.55,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0
12,China,Jiangsu,620,Positive only,44,0.53,0,0,0,0,1,620,0,0,0,0,0.04,0.15,0.06,0.02,0,0.01,0.01,0,0.01,0.01,0.66,0,0.55,0.03,0,0.27,0,0,0,0.09,0,0.02,0,0,0,0,0.16,0,0
12,China,Jiangsu,97,Positive only,36,0.45,0,0,0,0,1,97,0,0,0,0,0.06,0.11,0.09,0.03,0,0,0,0,0,0.03,0.24,0,0.3,0.01,0,0.12,0,0,0,0.04,0,0.01,0,0,0,0,1,0,0
12,China,Jiangsu,470,Positive only,44,0.53,0,0,0,0,1,470,0,0,0,0,0.04,0.14,0.05,0.01,0,0.01,0,0,0.01,0.06,0.73,0,0.59,0.03,0,0.25,0,0,0,0.09,0,0.02,0,0,0,0,0,0,0
12,China,Jiangsu,53,Positive only,60,0.66,0,0,0,0,1,53,0,0,0,0,0,0.34,0.15,0.08,0,0.02,0.02,0,0.02,0.05,0.85,0,0.7,0.11,0,0.42,0,0,0,0.11,0,0,0,0,0,0,0,0,0
13,China,Nationwide,1099,Positive only,47,0.58,0,0,0,0,1,1099,0,0,0,0,0.13,0.15,0.07,0.03,0.01,0.01,0,0.01,0.01,0,0.89,0,0.68,0.19,0.14,0.34,0.15,0.38,0.05,0.04,0.05,0,0.14,0.12,0,0,0,0.01,0
13,China,Nationwide,926,Positive only,45,0.58,0,0,0,0,1,926,0,0,0,0,0.12,0.13,0.06,0.02,0.01,0.01,0,0.01,0.01,0,0.88,0,0.67,0.15,0.13,0.33,0.15,0.38,0.05,0.04,0.05,0,0.14,0.11,0,0,0,0,0
13,China,Nationwide,173,Positive only,51,0.58,0,0,0,0,1,173,0,0,0,0,0.17,0.24,0.16,0.06,0.04,0.02,0,0.02,0.02,0,0.92,0,0.71,0.38,0.15,0.35,0.17,0.4,0.04,0.06,0.07,0,0.13,0.15,0,0,0,0.08,0
13,China,Nationwide,67,Positive and Negative/Unconfirmed,62,0.67,0,0,0,0,1,67,0,0,0,0,0.26,0.36,0.27,0.09,0.1,0.02,0,0.06,0.03,0,0.88,0,0.69,0.54,0.12,0.3,0.09,0.33,0.03,0.06,0.05,0,0.09,0.12,0,0,0,0.22,1
13,China,Nationwide,1032,Positive and Negative/Unconfirmed,46,0.58,0,0,0,0,1,1032,0,0,0,0,0.12,0.14,0.06,0.02,0.01,0.01,0,0.01,0.01,0,0.89,0,0.68,0.16,0.14,0.34,0.15,0.39,0.05,0.04,0.05,0,0.14,0.11,0,0,0,0,0
16,China,Wuhan,41,Positive only,49,0.73,0,0,0,0,1,41,0,0,0,0,0.07,0.15,0.2,0.15,0.02,0.02,0.02,0,0,0.02,0.98,0.29,0.76,0.55,0,0.28,0.44,0.44,0,0.03,0,0,0,0,0,0,0,0.15,1
16,China,Wuhan,13,Positive only,50,0.85,0,0,0,0,1,13,0,0,0,0,0,0.15,0.08,0.23,0.08,0,0,0,0,0,1,0.62,0.85,0.92,0,0.38,0.54,0.54,0,0,0,0,0,0,0,0,0,0.38,1
